ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,target
1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
2,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1
3,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1
4,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1
5,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1
6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
9,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
12,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
13,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
14,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1
15,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
16,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
19,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
20,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1
24,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
25,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1
26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
27,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
29,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
32,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
33,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
34,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
35,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1
38,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
39,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1
42,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
43,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
44,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1
45,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
46,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
48,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
49,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
50,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
51,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
52,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
53,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
54,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
55,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
56,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1
57,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
60,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1
61,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1
62,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1
63,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
66,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1
